Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
40,36,171,Edward,Strickland,male,45,CO,US,00:00:00,03:02:00,03:03:00,05:17:00,05:19:00,08:13:00,08:16:00,10:40:00,10:44:00,11:35:00,11:41:00,12:59:00,13:20:00,16:10:00,16:16:00,19:25:00,19:25:00,25:53:00,26:13:00,30:37:00,30:47:00,33:12:00,33:22:00,36:57:00,37:36:00,42:42:36
41,37,23,Nigel,Finney,male,55,MN,US,00:00:00,03:27:00,03:28:00,06:05:00,06:06:00,09:14:00,09:20:00,11:52:00,11:56:00,12:50:00,12:54:00,14:15:00,14:18:00,17:55:00,18:05:00,21:07:00,21:28:00,27:39:00,27:52:00,31:51:00,31:56:00,33:59:00,34:33:00,37:36:00,37:48:00,42:59:55
42,38,108,Kirk,Boisseree,male,44,CA,US,00:00:00,03:34:00,03:35:00,06:14:00,06:21:00,09:49:00,09:58:00,12:21:00,12:25:00,13:15:00,13:20:00,14:46:00,15:17:00,18:34:00,18:46:00,21:29:00,21:49:00,28:15:00,28:48:00,32:37:00,32:43:00,34:34:00,35:01:00,37:50:00,37:57:00,43:05:56
43,39,151,Steve,Pattillo,male,51,NM,US,00:00:00,03:36:00,03:37:00,06:00:00,06:04:00,09:24:00,09:25:00,11:58:00,12:08:00,13:02:00,13:03:00,14:38:00,15:02:00,18:40:00,18:54:00,21:54:00,22:27:00,28:19:00,28:36:00,32:10:00,32:24:00,34:12:00,34:46:00,37:37:00,37:47:00,43:11:27
44,40,115,Mike,Dobies,male,40,MI,US,00:00:00,03:51:00,03:53:00,06:32:00,06:38:00,09:58:00,10:13:00,12:39:00,12:41:00,13:40:00,13:46:00,15:30:00,16:00:00,19:22:00,19:27:00,22:13:00,23:05:00,29:04:00,29:24:00,33:07:00,33:12:00,35:24:00,35:28:00,38:30:00,38:32:00,43:15:07
45,41,153,Don,Platt,male,47,CO,US,00:00:00,03:21:00,03:22:00,05:47:00,05:49:00,08:59:00,09:06:00,11:48:00,11:50:00,12:34:00,12:34:00,13:58:00,14:10:00,17:30:00,17:39:00,20:04:00,20:32:00,26:59:00,27:25:00,31:30:00,31:42:00,33:40:00,33:58:00,37:37:00,38:04:00,43:48:36
46,42,166,Murray,Schart,male,42,UT,US,00:00:00,03:10:00,03:11:00,05:21:00,05:22:00,08:18:00,08:23:00,10:43:00,10:50:00,11:47:00,11:48:00,13:12:00,13:35:00,16:26:00,16:30:00,19:09:00,21:42:00,28:09:00,28:47:00,32:40:00,32:50:00,34:45:00,35:40:00,39:23:00,39:23:00,43:48:42
47,43,174,Kevin,Taverner,male,38,CO,US,00:00:00,03:23:00,03:29:00,06:00:00,06:10:00,09:34:00,09:38:00,12:57:00,13:15:00,14:04:00,14:07:00,15:36:00,16:15:00,19:36:00,19:50:00,22:23:00,23:02:00,29:19:00,29:55:00,33:38:00,33:42:00,35:58:00,36:26:00,39:47:00,40:31:00,44:27:58
48,44,147,Martin,Miller,male,49,MT,US,00:00:00,03:33:00,03:35:00,06:16:00,06:22:00,09:34:00,09:43:00,12:08:00,12:13:00,13:08:00,13:13:00,14:47:00,15:10:00,18:29:00,18:37:00,21:34:00,22:06:00,28:19:00,29:00:00,32:54:00,33:08:00,35:24:00,35:35:00,38:37:00,38:53:00,44:29:38
49,5,155,Rickie,Redland,female,47,WY,US,00:00:00,03:33:00,03:35:00,06:05:00,06:08:00,09:11:00,09:18:00,11:39:00,11:53:00,12:38:00,12:43:00,14:18:00,14:28:00,18:04:00,18:18:00,21:05:00,21:23:00,29:10:00,29:36:00,33:26:00,33:37:00,35:30:00,35:51:00,39:17:00,39:19:00,44:34:53
